일자,모델코드,입고,출고,재고
2022-08-12,W_M002,9968,9744,58365
2022-08-13,W_M002,8211,9046,57530
2022-08-14,W_M002,10678,11563,56645
2022-08-15,W_M002,10211,10881,55975
2022-08-16,W_M002,8954,11480,53449
2022-08-17,W_M002,10032,10785,52696
2022-08-18,W_M002,10571,11582,51685
2022-08-19,W_M002,12292,10520,53457
2022-08-20,W_M002,9509,10547,52419
2022-08-21,W_M002,8791,11734,49476
2022-08-22,W_M002,12792,9924,52344
2022-08-23,W_M002,10300,9848,52796
2022-08-24,W_M002,9987,9352,53431
2022-08-25,W_M002,9482,9492,53421
2022-08-26,W_M002,8505,9786,52140
2022-08-27,W_M002,10098,10234,52004
2022-08-28,W_M002,10619,10527,52096
2022-08-29,W_M002,9687,9131,52652
2022-08-30,W_M002,10212,11427,51437
2022-08-31,W_M002,9114,11780,48771
2022-09-01,W_M002,4898,4813,48856
2022-09-02,W_M002,4776,4822,48810
2022-09-03,W_M002,4490,5113,48187
2022-09-04,W_M002,4874,4195,48866
2022-09-05,W_M002,4459,5070,48255
2022-09-06,W_M002,4629,5041,47843
2022-09-07,W_M002,4279,5492,46630
2022-09-08,W_M002,4672,3720,47582
2022-09-09,W_M002,4595,5567,46610
2022-09-10,W_M002,4612,5441,45781
2022-09-11,W_M002,5000,5017,45764
2022-09-12,W_M002,4469,5099,45134
2022-09-13,W_M002,5028,4476,45686
2022-09-14,W_M002,4746,5106,45326
2022-09-15,W_M002,4021,5156,44191
2022-09-16,W_M002,5150,4290,45051
2022-09-17,W_M002,4474,5124,44401
2022-09-18,W_M002,4436,5448,43389
2022-09-19,W_M002,5050,4761,43678
2022-09-20,W_M002,5366,4910,44134
2022-09-21,W_M002,5405,5335,44204
2022-09-22,W_M002,5692,4900,44996
2022-09-23,W_M002,5128,5120,45004
2022-09-24,W_M002,4080,4035,45049
2022-09-25,W_M002,4483,4875,44657
2022-09-26,W_M002,5086,4159,45584
2022-09-27,W_M002,4854,5014,45424
2022-09-28,W_M002,4878,4337,45965
2022-09-29,W_M002,3997,4291,45671
2022-09-30,W_M002,4673,5568,44776
2022-10-01,W_M002,5948,6171,44553
2022-10-02,W_M002,5322,5403,44472
2022-10-03,W_M002,6668,6684,44456
2022-10-04,W_M002,4438,6164,42730
2022-10-05,W_M002,5486,5734,42482
2022-10-06,W_M002,5916,6653,41745
2022-10-07,W_M002,6191,5575,42361
2022-10-08,W_M002,6055,6895,41521
2022-10-09,W_M002,5726,5428,41819
2022-10-10,W_M002,5655,5383,42091
2022-10-11,W_M002,5667,6147,41611
2022-10-12,W_M002,5979,7115,40475
2022-10-13,W_M002,6221,6241,40455
2022-10-14,W_M002,5656,6265,39846
2022-10-15,W_M002,5610,5184,40272
2022-10-16,W_M002,5048,5715,39605
2022-10-17,W_M002,5446,6280,38771
2022-10-18,W_M002,6347,6611,38507
2022-10-19,W_M002,6359,5651,39215
2022-10-20,W_M002,5560,6283,38492
2022-10-21,W_M002,5188,5684,37996
2022-10-22,W_M002,5049,6107,36938
2022-10-23,W_M002,6802,5939,37801
2022-10-24,W_M002,5818,7432,36187
2022-10-25,W_M002,4605,6179,34613
2022-10-26,W_M002,5508,5793,34328
2022-10-27,W_M002,6747,5973,35102
2022-10-28,W_M002,5658,5593,35167
2022-10-29,W_M002,6005,5475,35697
2022-10-30,W_M002,6301,6446,35552
2022-10-31,W_M002,6090,7409,34233
2022-11-01,W_M002,13293,17070,30456
2022-11-02,W_M002,15780,14692,31544
2022-11-03,W_M002,11960,19182,24322
2022-11-04,W_M002,16395,13852,26865
2022-11-05,W_M002,15888,15701,27052
2022-11-06,W_M002,17897,16670,28279
2022-11-07,W_M002,17744,14494,31529
2022-11-08,W_M002,14466,18097,27898
2022-11-09,W_M002,17804,14344,31358
2022-11-10,W_M002,16183,19339,28202
2022-11-11,W_M002,15399,15768,27833
2022-11-12,W_M002,14604,15422,27015
2022-11-13,W_M002,16017,17649,25383
2022-11-14,W_M002,16166,15309,26240
2022-11-15,W_M002,15721,12061,29900
2022-11-16,W_M002,15847,14244,31503
2022-11-17,W_M002,15406,12255,34654
2022-11-18,W_M002,14797,17846,31605
2022-11-19,W_M002,15043,18180,28468
2022-11-20,W_M002,16867,15688,29647
2022-11-21,W_M002,13809,16705,26751
2022-11-22,W_M002,16442,15441,27752
2022-11-23,W_M002,14507,16445,25814
2022-11-24,W_M002,14870,13554,27130
2022-11-25,W_M002,15802,15665,27267
2022-11-26,W_M002,17017,16226,28058
2022-11-27,W_M002,14429,17400,25087
2022-11-28,W_M002,16406,18097,23396
2022-11-29,W_M002,16946,16150,24192
2022-11-30,W_M002,16787,13639,27340
2022-12-01,W_M002,19829,16439,30730
2022-12-02,W_M002,22685,18573,34842
2022-12-03,W_M002,19692,17644,36890
2022-12-04,W_M002,16768,16479,37179
2022-12-05,W_M002,14397,16421,35155
2022-12-06,W_M002,16975,18131,33999
2022-12-07,W_M002,15491,15665,33825
2022-12-08,W_M002,16468,17334,32959
2022-12-09,W_M002,16301,16174,33086
2022-12-10,W_M002,16524,15988,33622
2022-12-11,W_M002,20859,16418,38063
2022-12-12,W_M002,19189,17364,39888
2022-12-13,W_M002,20201,14802,45287
2022-12-14,W_M002,19362,17846,46803
2022-12-15,W_M002,15678,16975,45506
2022-12-16,W_M002,16567,18960,43113
2022-12-17,W_M002,19150,16105,46158
2022-12-18,W_M002,14554,18464,42248
2022-12-19,W_M002,16919,18650,40517
2022-12-20,W_M002,14548,19879,35186
2022-12-21,W_M002,18775,15990,37971
2022-12-22,W_M002,15201,16043,37129
2022-12-23,W_M002,15258,17919,34468
2022-12-24,W_M002,16841,15797,35512
2022-12-25,W_M002,15576,16599,34489
2022-12-26,W_M002,18999,18407,35081
2022-12-27,W_M002,16716,15290,36507
2022-12-28,W_M002,16520,15408,37619
2022-12-29,W_M002,16662,16157,38124
2022-12-30,W_M002,17665,16848,38941
2022-12-31,W_M002,16299,20009,35231
2022-01-01,T_M003,5002,5010,29992
2022-01-02,T_M003,4574,4494,30072
2022-01-03,T_M003,4496,5651,28917
2022-01-04,T_M003,4563,4860,28620
2022-01-05,T_M003,4698,4369,28949
2022-01-06,T_M003,4720,5587,28082
2022-01-07,T_M003,5629,4697,29014
2022-01-08,T_M003,4827,4744,29097
2022-01-09,T_M003,4736,4111,29722
2022-01-10,T_M003,4866,5510,29078
2022-01-11,T_M003,4843,4403,29518
2022-01-12,T_M003,4089,4618,28989
2022-01-13,T_M003,3929,4290,28628
2022-01-14,T_M003,4733,5900,27461
2022-01-15,T_M003,4449,5005,26905
2022-01-16,T_M003,6164,5332,27737
2022-01-17,T_M003,5393,4866,28264
2022-01-18,T_M003,5059,5678,27645
2022-01-19,T_M003,5895,5278,28262
2022-01-20,T_M003,4753,5502,27513
2022-01-21,T_M003,4742,4842,27413
2022-01-22,T_M003,4168,5457,26124
2022-01-23,T_M003,6115,5798,26441
2022-01-24,T_M003,5487,5305,26623
2022-01-25,T_M003,4753,5237,26139
2022-01-26,T_M003,4685,4859,25965
2022-01-27,T_M003,4812,5048,25729
2022-01-28,T_M003,4541,4424,25846
2022-01-29,T_M003,4992,4969,25869
2022-01-30,T_M003,4780,4701,25948
2022-01-31,T_M003,3907,4674,25181
2022-02-01,T_M003,3534,2992,25723
2022-02-02,T_M003,3069,3149,25643
2022-02-03,T_M003,2733,3313,25063
2022-02-04,T_M003,2972,3249,24786
2022-02-05,T_M003,2979,3212,24553
2022-02-06,T_M003,3018,2640,24931
2022-02-07,T_M003,3493,3147,25277
2022-02-08,T_M003,3218,2882,25613
2022-02-09,T_M003,2725,2473,25865
2022-02-10,T_M003,2811,2809,25867
2022-02-11,T_M003,3480,3476,25871
2022-02-12,T_M003,3034,3510,25395
2022-02-13,T_M003,2726,2950,25171
2022-02-14,T_M003,2968,3221,24918
2022-02-15,T_M003,3107,3022,25003
2022-02-16,T_M003,3457,3208,25252
2022-02-17,T_M003,2898,2547,25603
2022-02-18,T_M003,3065,2929,25739
2022-02-19,T_M003,3103,2963,25879
2022-02-20,T_M003,2949,2881,25947
2022-02-21,T_M003,2360,3198,25109
2022-02-22,T_M003,3462,3172,25399
2022-02-23,T_M003,2549,3223,24725
2022-02-24,T_M003,2777,2796,24706
2022-02-25,T_M003,2924,2661,24969
2022-02-26,T_M003,2757,2893,24833
2022-02-27,T_M003,2956,2495,25294
2022-02-28,T_M003,2980,3083,25191
2022-03-01,T_M003,5933,4510,26614
2022-03-02,T_M003,4539,5929,25224
2022-03-03,T_M003,4915,4555,25584
2022-03-04,T_M003,5632,3757,27459
2022-03-05,T_M003,4289,4238,27510
2022-03-06,T_M003,5079,5660,26929
2022-03-07,T_M003,5020,5825,26124
2022-03-08,T_M003,5939,5266,26797
2022-03-09,T_M003,4087,5082,25802
2022-03-10,T_M003,5099,4913,25988
2022-03-11,T_M003,5793,4023,27758
2022-03-12,T_M003,4924,4648,28034
2022-03-13,T_M003,4768,5579,27223
2022-03-14,T_M003,5015,5018,27220
2022-03-15,T_M003,5288,5168,27340
2022-03-16,T_M003,4990,4776,27554
2022-03-17,T_M003,4482,4074,27962
2022-03-18,T_M003,5037,5270,27729
2022-03-19,T_M003,4923,5091,27561
2022-03-20,T_M003,4962,4762,27761
2022-03-21,T_M003,5761,4392,29130
2022-03-22,T_M003,5089,5004,29215
2022-03-23,T_M003,5532,4089,30658
2022-03-24,T_M003,5488,4946,31200
2022-03-25,T_M003,5105,6029,30276
2022-03-26,T_M003,5370,4349,31297
2022-03-27,T_M003,4099,4633,30763
2022-03-28,T_M003,4419,5441,29741
2022-03-29,T_M003,3911,4677,28975
2022-03-30,T_M003,4923,4783,29115
2022-03-31,T_M003,5059,3695,30479
2022-04-01,T_M003,4356,3889,30946
2022-04-02,T_M003,3838,4381,30403
2022-04-03,T_M003,4274,3846,30831
2022-04-04,T_M003,3701,3895,30637
2022-04-05,T_M003,4256,4286,30607
2022-04-06,T_M003,3942,4606,29943
2022-04-07,T_M003,3465,4571,28837
2022-04-08,T_M003,3888,3660,29065
2022-04-09,T_M003,3920,4863,28122
2022-04-10,T_M003,4115,3271,28966
2022-04-11,T_M003,4374,3908,29432
2022-04-12,T_M003,4164,3517,30079
2022-04-13,T_M003,3583,3910,29752
2022-04-14,T_M003,4508,3758,30502
2022-04-15,T_M003,3943,4157,30288
2022-04-16,T_M003,4030,3564,30754
2022-04-17,T_M003,4128,4090,30792
2022-04-18,T_M003,3601,4436,29957
2022-04-19,T_M003,3303,4413,28847
2022-04-20,T_M003,4783,3842,29788
2022-04-21,T_M003,3477,4140,29125
2022-04-22,T_M003,4062,4121,29066
2022-04-23,T_M003,3873,3679,29260
2022-04-24,T_M003,4058,4091,29227
2022-04-25,T_M003,3795,3343,29679
2022-04-26,T_M003,3960,3623,30016
2022-04-27,T_M003,3950,4172,29794
2022-04-28,T_M003,4488,3999,30283
2022-04-29,T_M003,4187,3628,30842
2022-04-30,T_M003,4134,3616,31360
2022-05-01,T_M003,4364,5351,30373
2022-05-02,T_M003,5748,5176,30945
2022-05-03,T_M003,5206,4805,31346
2022-05-04,T_M003,5050,5361,31035
2022-05-05,T_M003,4530,4271,31294
2022-05-06,T_M003,4447,5124,30617
2022-05-07,T_M003,5284,4239,31662
2022-05-08,T_M003,5642,4707,32597
2022-05-09,T_M003,5013,5110,32500
2022-05-10,T_M003,4493,4173,32820
2022-05-11,T_M003,5577,4752,33645
2022-05-12,T_M003,5521,5500,33666
2022-05-13,T_M003,4248,5201,32713
2022-05-14,T_M003,5078,5001,32790
2022-05-15,T_M003,5483,5632,32641
2022-05-16,T_M003,5334,4692,33283
2022-05-17,T_M003,5364,3952,34695
2022-05-18,T_M003,4077,5254,33518
2022-05-19,T_M003,4370,3625,34263
2022-05-20,T_M003,4262,4155,34370
2022-05-21,T_M003,5168,4617,34921
2022-05-22,T_M003,5186,4235,35872
2022-05-23,T_M003,5059,4838,36093
2022-05-24,T_M003,5858,5925,36026
2022-05-25,T_M003,4878,5236,35668
2022-05-26,T_M003,4942,5766,34844
2022-05-27,T_M003,5071,4713,35202
2022-05-28,T_M003,5039,4087,36154
2022-05-29,T_M003,4750,5168,35736
2022-05-30,T_M003,5689,4602,36823
2022-05-31,T_M003,4606,4915,36514
2022-06-01,T_M003,12397,13710,35201
2022-06-02,T_M003,10953,12260,33894
2022-06-03,T_M003,13384,13147,34131
2022-06-04,T_M003,12538,11806,34863
2022-06-05,T_M003,10080,11280,33663
2022-06-06,T_M003,10404,12917,31150
2022-06-07,T_M003,11196,11816,30530
2022-06-08,T_M003,13153,12087,31596
2022-06-09,T_M003,9040,13399,27237
2022-06-10,T_M003,12160,12821,26576
2022-06-11,T_M003,12454,11160,27870
2022-06-12,T_M003,14184,12041,30013
2022-06-13,T_M003,13392,11642,31763
2022-06-14,T_M003,12257,11533,32487
2022-06-15,T_M003,10931,11016,32402
2022-06-16,T_M003,11200,11687,31915
2022-06-17,T_M003,13061,11139,33837
2022-06-18,T_M003,13209,12279,34767
2022-06-19,T_M003,10386,13386,31767
2022-06-20,T_M003,12040,13308,30499
2022-06-21,T_M003,10852,8899,32452
2022-06-22,T_M003,12003,12419,32036
2022-06-23,T_M003,11784,11161,32659
2022-06-24,T_M003,11856,10799,33716
2022-06-25,T_M003,10938,8551,36103
2022-06-26,T_M003,12568,13820,34851
2022-06-27,T_M003,13433,10833,37451
2022-06-28,T_M003,13234,12241,38444
2022-06-29,T_M003,13133,12974,38603
2022-06-30,T_M003,12355,13326,37632
2022-07-01,T_M003,12184,13201,36615
2022-07-02,T_M003,13880,12501,37994
2022-07-03,T_M003,15379,11998,41375
2022-07-04,T_M003,11626,11932,41069
2022-07-05,T_M003,14252,14142,41179
2022-07-06,T_M003,13376,11801,42754
2022-07-07,T_M003,13390,14040,42104
2022-07-08,T_M003,14561,13502,43163
2022-07-09,T_M003,11895,10723,44335
2022-07-10,T_M003,12675,13519,43491
2022-07-11,T_M003,14160,13984,43667
2022-07-12,T_M003,12698,12753,43612
2022-07-13,T_M003,12615,14284,41943
2022-07-14,T_M003,14936,14911,41968
2022-07-15,T_M003,13991,15001,40958
2022-07-16,T_M003,10620,13294,38284
2022-07-17,T_M003,14294,11297,41281
2022-07-18,T_M003,12637,10965,42953
2022-07-19,T_M003,13760,12853,43860
2022-07-20,T_M003,13132,12003,44989
2022-07-21,T_M003,14363,13852,45500
2022-07-22,T_M003,15638,12000,49138
2022-07-23,T_M003,13546,9240,53444
2022-07-24,T_M003,12973,16095,50322
2022-07-25,T_M003,10907,10451,50778
2022-07-26,T_M003,12807,13588,49997
2022-07-27,T_M003,11960,12990,48967
2022-07-28,T_M003,14039,11819,51187
2022-07-29,T_M003,15247,14192,52242
2022-07-30,T_M003,13461,13918,51785
2022-07-31,T_M003,16372,13203,54954
2022-08-01,T_M003,10090,10923,54121
2022-08-02,T_M003,10752,9993,54880
2022-08-03,T_M003,10313,10611,54582
2022-08-04,T_M003,9210,8261,55531
2022-08-05,T_M003,9944,8403,57072
2022-08-06,T_M003,9419,9794,56697
2022-08-07,T_M003,8771,9544,55924
2022-08-08,T_M003,10384,10530,55778
2022-08-09,T_M003,10456,11203,55031
2022-08-10,T_M003,8789,11481,52339
2022-08-11,T_M003,11192,9918,53613
2022-08-12,T_M003,9970,10441,53142
2022-08-13,T_M003,10535,9435,54242
2022-08-14,T_M003,9499,9855,53886
2022-08-15,T_M003,10654,9159,55381
2022-08-16,T_M003,9204,10017,54568
2022-08-17,T_M003,7619,9066,53121
2022-08-18,T_M003,9559,10535,52145
2022-08-19,T_M003,10593,9136,53602
2022-08-20,T_M003,10782,9589,54795
2022-08-21,T_M003,9294,8934,55155
2022-08-22,T_M003,8066,9613,53608
2022-08-23,T_M003,9151,9410,53349
2022-08-24,T_M003,10999,9701,54647
2022-08-25,T_M003,7784,11344,51087
2022-08-26,T_M003,9785,11070,49802
2022-08-27,T_M003,8991,10130,48663
2022-08-28,T_M003,10733,9827,49569
2022-08-29,T_M003,11268,10512,50325
2022-08-30,T_M003,9079,8574,50830
2022-08-31,T_M003,9729,10034,50525
2022-09-01,T_M003,9094,9727,49892
2022-09-02,T_M003,9710,9198,50404
2022-09-03,T_M003,9308,8068,51644
2022-09-04,T_M003,7844,8540,50948
2022-09-05,T_M003,10216,9881,51283
2022-09-06,T_M003,7804,8453,50634
2022-09-07,T_M003,10775,10196,51213
2022-09-08,T_M003,8340,9382,50171
2022-09-09,T_M003,9354,9908,49617
2022-09-10,T_M003,7831,10122,47326
2022-09-11,T_M003,8969,8615,47680
2022-09-12,T_M003,8897,10069,46508
2022-09-13,T_M003,9629,9196,46941
2022-09-14,T_M003,9555,10274,46222
2022-09-15,T_M003,9236,7562,47896
2022-09-16,T_M003,8723,9536,47083
2022-09-17,T_M003,8678,8506,47255
2022-09-18,T_M003,7195,8383,46067
2022-09-19,T_M003,8562,8504,46125
2022-09-20,T_M003,8429,10064,44490
2022-09-21,T_M003,9218,9676,44032
2022-09-22,T_M003,9950,9053,44929
2022-09-23,T_M003,8155,9033,44051
2022-09-24,T_M003,7145,9890,41306
2022-09-25,T_M003,8614,7755,42165
2022-09-26,T_M003,9445,7259,44351
2022-09-27,T_M003,8851,10093,43109
2022-09-28,T_M003,9265,8611,43763
2022-09-29,T_M003,9255,8104,44914
2022-09-30,T_M003,11020,9854,46080
2022-10-01,T_M003,5960,4644,47396
2022-10-02,T_M003,6777,5930,48243
2022-10-03,T_M003,5726,5480,48489
2022-10-04,T_M003,5955,5255,49189
2022-10-05,T_M003,5237,6388,48038
2022-10-06,T_M003,6736,5881,48893
2022-10-07,T_M003,5293,5977,48209
2022-10-08,T_M003,6084,6687,47606
2022-10-09,T_M003,6197,5109,48694
2022-10-10,T_M003,6107,7294,47507
2022-10-11,T_M003,6038,5442,48103
2022-10-12,T_M003,5164,5956,47311
2022-10-13,T_M003,5893,7241,45963
2022-10-14,T_M003,6813,6228,46548
2022-10-15,T_M003,5901,7090,45359
2022-10-16,T_M003,5122,5407,45074
2022-10-17,T_M003,6456,5597,45933
2022-10-18,T_M003,6998,6380,46551
2022-10-19,T_M003,6285,6509,46327
2022-10-20,T_M003,5822,5313,46836
2022-10-21,T_M003,7169,4755,49250
2022-10-22,T_M003,6089,6230,49109
2022-10-23,T_M003,5617,7255,47471
2022-10-24,T_M003,5558,5238,47791
2022-10-25,T_M003,5532,5295,48028
2022-10-26,T_M003,5895,5536,48387
2022-10-27,T_M003,8016,5984,50419
